Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A02001_001,SE_A02001_002,SE_A02001_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A01004_001,SE_A01004_002,SE_A01004_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A11001_001,SE_A11001_002,SE_A11001_003,SE_A11001_004,SE_A11001_005,SE_A11001_006,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A14006_001,SE_A10001_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,SE_A10057_001,SE_A10034_001,SE_A10034_002,SE_A10034_003,SE_A10034_004,SE_A10034_005,SE_A10034_006,SE_A10034_007,SE_A10034_008,SE_A10036_001,SE_A18009_001,SE_A18003_001,SE_A10037_001,SE_A10037_002,SE_A10037_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"530330001011","Block Group 1, Census Tract 1.01, King County, Washington","ACSSF","wa","150","00","0004144",,,,,"53","033",,,"000101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330001011","Block Group 1",,,,1484,1484,26669.78,0.0556435010509701,1484,968,516,1484,130,72,83,13,156,558,77,33,64,189,54,55,31.3,30.1,31.6,1484,898,19,16,218,0,0,333,1484,1366,879,19,16,218,0,0,234,118,19,0,0,0,0,0,99,779,271,210,61,12,49,508,395,113,1199,556,425,15,32,171,1030,15,100,232,577,50,43,13,0,0,0,81174,909,779,36,743,909,779,130,130,130,0,0,909,85,59,26,0,0,0,15,65,744,0,0,2013,779,104,641,34,0,0,0,0,687500,1841,24.5,22.2999992370605,22.2999992370605,,271,49,0,0,0,0,0,49,13,36,222,1477,119,,,0,73,1193,1477,211,73,284,1193,,,,,
"530330001012","Block Group 2, Census Tract 1.01, King County, Washington","ACSSF","wa","150","00","0004145",,,,,"53","033",,,"000101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330001012","Block Group 2",,,,1112,1112,27761.02,0.0400561701444177,1112,575,537,1112,79,75,57,30,48,220,346,83,105,32,37,0,35.4,36,31.9,1112,453,485,0,81,0,45,48,1112,907,293,485,0,81,0,0,48,205,160,0,0,0,0,45,0,528,228,193,35,15,20,300,150,150,901,320,405,60,0,116,823,113,274,143,163,103,27,0,49,26,23,39792,568,528,71,457,568,528,40,40,0,0,40,568,36,20,16,15,28,55,125,242,67,0,0,1975,528,34,494,0,0,0,0,0,218200,1285,35,29.3999996185303,,,228,29,29,0,0,0,0,0,0,0,199,1112,106,,,277,143,485,1112,207,420,627,485,,,,,
"530330001013","Block Group 3, Census Tract 1.01, King County, Washington","ACSSF","wa","150","00","0004146",,,,,"53","033",,,"000101","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330001013","Block Group 3",,,,1063,1063,16487.26,0.0644740438951841,1063,515,548,1063,17,69,38,0,74,384,113,71,196,70,31,0,30.9,30.5,31.4,1063,366,198,0,267,0,58,174,1063,1005,366,198,0,267,0,0,174,58,0,0,0,0,0,58,0,442,259,90,169,16,153,183,126,57,939,508,285,0,16,130,865,139,118,237,209,115,47,0,32,0,32,51845,519,442,29,413,519,442,77,77,77,0,0,519,71,56,15,0,52,0,42,155,199,0,0,1986,442,93,349,0,0,0,0,0,,1686,37.0999984741211,,,,259,16,0,0,16,0,16,0,0,0,243,1063,67,,,106,290,553,1063,114,396,510,553,,,,,
"530330001021","Block Group 1, Census Tract 1.02, King County, Washington","ACSSF","wa","150","00","0004147",,,,,"53","033",,,"000102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330001021","Block Group 1",,,,1559,1559,4517.723,0.345085382634977,1559,695,864,1559,18,10,55,31,136,140,229,154,269,322,31,164,55.2,58.5,52.4,1559,1390,0,17,104,0,0,48,1559,1559,1390,0,17,104,0,0,48,0,0,0,0,0,0,0,0,595,507,363,144,8,136,88,61,27,1476,405,729,16,135,191,1309,0,195,117,606,198,140,53,91,0,91,205819,611,595,509,86,611,595,16,16,16,0,0,611,611,611,0,0,0,0,0,0,0,0,0,1961,595,236,308,27,0,0,24,0,924200,1989,19.7999992370605,14.5,20.2999992370605,9,507,0,0,0,0,0,0,0,0,0,507,1559,0,,,22,23,1489,1559,25,45,70,1489,,,,,
"530330001022","Block Group 2, Census Tract 1.02, King County, Washington","ACSSF","wa","150","00","0004148",,,,,"53","033",,,"000102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330001022","Block Group 2",,,,1467,1467,8697.621,0.168666804633844,1467,733,734,1467,84,78,12,42,147,229,270,206,171,94,125,9,40,39.5,43.1,1467,898,33,0,407,0,107,22,1467,1347,886,33,0,407,0,0,21,120,12,0,0,0,0,107,1,577,324,201,123,73,50,253,184,69,1293,657,460,0,23,153,1104,139,148,267,228,187,103,32,86,0,86,74982,577,577,411,166,577,577,0,0,0,0,0,577,533,443,90,28,0,0,0,16,0,0,0,1959,577,399,97,0,70,0,11,0,509300,2191,32.5,24.3999996185303,25.6000003814697,14.8999996185303,324,53,0,12,41,0,41,0,0,0,271,1467,50,,,27,58,1120,1467,262,85,347,1120,,,,,
"530330001023","Block Group 3, Census Tract 1.02, King County, Washington","ACSSF","wa","150","00","0004149",,,,,"53","033",,,"000102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330001023","Block Group 3",,,,1513,1513,23835.07,0.0634779002837079,1513,706,807,1513,0,57,172,0,119,348,258,105,161,122,155,16,36.8,34.3,40.5,1513,817,272,0,177,0,171,76,1513,1244,719,272,0,177,0,0,76,269,98,0,0,0,0,171,0,1037,219,150,69,0,69,818,355,463,1284,524,327,130,43,260,1165,108,374,310,147,176,0,50,12,0,12,29659,1142,1037,49,988,1142,1037,105,105,105,0,0,1142,23,11,12,0,0,51,15,63,990,0,0,2005,1037,68,933,0,0,0,0,36,,1163,36.5999984741211,,,,219,31,0,31,0,0,0,0,0,0,188,1513,61,,,175,118,1062,1513,158,293,451,1062,,,,,
"530330002011","Block Group 1, Census Tract 2.01, King County, Washington","ACSSF","wa","150","00","0004150",,,,,"53","033",,,"000201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330002011","Block Group 1",,,,1471,1471,4130.359,0.356143348926713,1471,713,758,1471,172,48,131,22,110,226,201,133,190,91,133,14,37.7,38.4,29.9,1471,782,366,0,135,0,143,45,1471,1295,764,366,0,135,0,0,30,176,18,0,0,0,0,143,15,688,276,177,99,57,42,412,162,250,1120,450,439,0,92,139,988,156,105,239,260,179,15,34,23,0,23,59038,744,688,96,592,744,688,56,56,0,0,56,744,158,124,34,24,0,0,151,173,238,0,0,1972,688,116,572,0,0,0,0,0,629000,1529,36.9000015258789,14.6999998092651,20.8999996185303,,276,46,0,15,0,0,0,31,31,0,230,1471,0,,,46,178,1020,1471,227,224,451,1020,,,,,
"530330002012","Block Group 2, Census Tract 2.01, King County, Washington","ACSSF","wa","150","00","0004151",,,,,"53","033",,,"000201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330002012","Block Group 2",,,,1543,1543,8182.89,0.188564194119818,1543,884,659,1543,92,12,83,44,12,237,147,404,179,139,146,48,46.9,46.6,48.9,1543,984,48,0,466,0,27,18,1543,1428,896,48,0,466,0,0,18,115,88,0,0,0,0,27,0,787,459,389,70,12,58,328,126,202,1356,358,825,15,43,115,1300,34,76,198,428,220,47,297,35,0,35,87277,912,787,509,278,912,787,125,125,72,39,14,912,463,424,39,0,0,83,7,166,193,0,0,1968,787,277,483,27,0,0,0,0,583100,1375,33.7999992370605,17.3999996185303,16.8999996185303,28,459,0,0,0,0,0,0,0,0,0,459,1534,18,,,115,31,1321,1534,67,146,213,1321,,,,,
"530330002013","Block Group 3, Census Tract 2.01, King County, Washington","ACSSF","wa","150","00","0004152",,,,,"53","033",,,"000201","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330002013","Block Group 3",,,,1666,1666,10897.28,0.152882175515871,1666,946,720,1666,25,54,24,56,179,361,204,240,323,92,73,35,40.2,41.4,39.4,1666,1287,0,0,116,0,120,143,1666,1408,1150,0,0,116,0,13,129,258,137,0,0,0,0,107,14,879,318,176,142,62,80,561,354,207,1563,664,440,15,35,409,1328,57,231,274,554,159,12,41,80,0,80,81475,879,879,523,356,879,879,0,0,0,0,0,879,501,449,52,0,41,12,182,83,60,0,0,1968,879,86,707,56,0,0,0,30,576800,1816,34.0999984741211,18.7999992370605,19.7999992370605,18.7000007629395,318,65,0,0,21,0,21,44,44,0,253,1666,58,,,87,69,1261,1666,249,156,405,1261,,,,,
"530330002021","Block Group 1, Census Tract 2.02, King County, Washington","ACSSF","wa","150","00","0004153",,,,,"53","033",,,"000202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330002021","Block Group 1",,,,1553,1553,8125.005,0.191138337320482,1553,838,715,1553,72,126,74,0,46,203,339,195,257,154,68,19,42.9,42.8,43.1,1553,1081,173,0,202,0,0,97,1553,1426,954,173,0,202,0,0,97,127,127,0,0,0,0,0,0,591,367,346,21,0,21,224,85,139,1281,289,780,32,42,138,1235,96,173,184,457,280,15,30,0,0,0,117219,609,591,505,86,609,591,18,18,0,0,18,609,584,496,88,0,0,0,0,25,0,0,0,1962,591,234,282,75,0,0,0,0,557300,,35.2999992370605,21.6000003814697,25.8999996185303,12.1999998092651,367,0,0,0,0,0,0,0,0,0,367,1553,14,,,50,51,1376,1553,76,101,177,1376,,,,,
