Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_OCCUNIT2,ORG_S_1D,ORG_S_1A,ORG_S_2,ORG_S_3_4,ORG_S_5_9,ORG_S_10_19,ORG_S_20_49,ORG_S_50P,ORG_STRAILER,ORG_SOTHER
"530330001001","530330001001","530330001001, 53033000100, King, Washington","00","53","033","000100","1",,,,633,633,0,0,0,0,0,0,0,0,0
"530330001002","530330001002","530330001002, 53033000100, King, Washington","00","53","033","000100","2",,,,714,105,31,43,43,97,39,72,284,0,0
"530330001003","530330001003","530330001003, 53033000100, King, Washington","00","53","033","000100","3",,,,813,246,54,0,119,55,77,14,248,0,0
"530330001004","530330001004","530330001004, 53033000100, King, Washington","00","53","033","000100","4",,,,906,55,36,0,23,146,147,290,177,32,0
"530330001005","530330001005","530330001005, 53033000100, King, Washington","00","53","033","000100","5",,,,674,86,0,0,0,25,0,72,491,0,0
"530330002001","530330002001","530330002001, 53033000200, King, Washington","00","53","033","000200","1",,,,521,421,38,0,43,19,0,0,0,0,0
"530330002002","530330002002","530330002002, 53033000200, King, Washington","00","53","033","000200","2",,,,682,350,44,15,0,39,38,112,84,0,0
"530330002003","530330002003","530330002003, 53033000200, King, Washington","00","53","033","000200","3",,,,953,105,36,58,32,70,65,256,321,10,0
"530330002004","530330002004","530330002004, 53033000200, King, Washington","00","53","033","000200","4",,,,625,259,0,0,14,91,41,39,181,0,0
"530330002005","530330002005","530330002005, 53033000200, King, Washington","00","53","033","000200","5",,,,794,277,73,14,47,34,60,194,95,0,0
"530330002006","530330002006","530330002006, 53033000200, King, Washington","00","53","033","000200","6",,,,624,593,0,0,0,18,0,0,0,13,0
"530330003001","530330003001","530330003001, 53033000300, King, Washington","00","53","033","000300","1",,,,572,532,9,0,0,31,0,0,0,0,0
"530330003002","530330003002","530330003002, 53033000300, King, Washington","00","53","033","000300","2",,,,710,446,98,31,23,12,40,48,12,0,0
"530330004011","530330004011","530330004011, 53033000401, King, Washington","00","53","033","000401","1",,,,1835,283,69,0,24,34,58,198,1169,0,0
"530330004012","530330004012","530330004012, 53033000401, King, Washington","00","53","033","000401","2",,,,805,348,67,0,14,13,0,271,92,0,0
"530330004013","530330004013","530330004013, 53033000401, King, Washington","00","53","033","000401","3",,,,1092,113,14,28,0,23,92,197,625,0,0
"530330004021","530330004021","530330004021, 53033000402, King, Washington","00","53","033","000402","1",,,,627,301,22,0,0,64,53,78,109,0,0
"530330004022","530330004022","530330004022, 53033000402, King, Washington","00","53","033","000402","2",,,,490,371,0,0,0,16,29,74,0,0,0
"530330004023","530330004023","530330004023, 53033000402, King, Washington","00","53","033","000402","3",,,,687,213,93,0,30,81,105,165,0,0,0
"530330004024","530330004024","530330004024, 53033000402, King, Washington","00","53","033","000402","4",,,,948,281,68,0,0,0,0,134,465,0,0
"530330005001","530330005001","530330005001, 53033000500, King, Washington","00","53","033","000500","1",,,,600,600,0,0,0,0,0,0,0,0,0
"530330005002","530330005002","530330005002, 53033000500, King, Washington","00","53","033","000500","2",,,,424,409,15,0,0,0,0,0,0,0,0
"530330005003","530330005003","530330005003, 53033000500, King, Washington","00","53","033","000500","3",,,,508,508,0,0,0,0,0,0,0,0,0
"530330006001","530330006001","530330006001, 53033000600, King, Washington","00","53","033","000600","1",,,,658,542,0,0,0,79,15,22,0,0,0
"530330006002","530330006002","530330006002, 53033000600, King, Washington","00","53","033","000600","2",,,,718,111,16,0,0,47,129,204,211,0,0
"530330006003","530330006003","530330006003, 53033000600, King, Washington","00","53","033","000600","3",,,,755,342,57,0,0,18,0,159,66,113,0
"530330006004","530330006004","530330006004, 53033000600, King, Washington","00","53","033","000600","4",,,,840,469,129,0,10,18,27,140,47,0,0
"530330006005","530330006005","530330006005, 53033000600, King, Washington","00","53","033","000600","5",,,,348,348,0,0,0,0,0,0,0,0,0
"530330006006","530330006006","530330006006, 53033000600, King, Washington","00","53","033","000600","6",,,,690,257,18,0,56,34,14,256,55,0,0
"530330007001","530330007001","530330007001, 53033000700, King, Washington","00","53","033","000700","1",,,,997,57,176,12,49,129,144,156,274,0,0
"530330007002","530330007002","530330007002, 53033000700, King, Washington","00","53","033","000700","2",,,,609,340,75,0,22,0,135,37,0,0,0
"530330007003","530330007003","530330007003, 53033000700, King, Washington","00","53","033","000700","3",,,,475,322,0,0,0,11,101,41,0,0,0
"530330007004","530330007004","530330007004, 53033000700, King, Washington","00","53","033","000700","4",,,,465,414,0,0,14,0,15,22,0,0,0
"530330008001","530330008001","530330008001, 53033000800, King, Washington","00","53","033","000800","1",,,,541,489,11,0,0,0,41,0,0,0,0
"530330008002","530330008002","530330008002, 53033000800, King, Washington","00","53","033","000800","2",,,,655,575,18,0,0,0,10,52,0,0,0
"530330009001","530330009001","530330009001, 53033000900, King, Washington","00","53","033","000900","1",,,,538,485,0,19,0,6,28,0,0,0,0
"530330009002","530330009002","530330009002, 53033000900, King, Washington","00","53","033","000900","2",,,,465,451,14,0,0,0,0,0,0,0,0
"530330010001","530330010001","530330010001, 53033001000, King, Washington","00","53","033","001000","1",,,,442,263,0,55,36,14,4,65,5,0,0
"530330010002","530330010002","530330010002, 53033001000, King, Washington","00","53","033","001000","2",,,,468,352,0,0,6,0,15,95,0,0,0
"530330011001","530330011001","530330011001, 53033001100, King, Washington","00","53","033","001100","1",,,,646,489,0,0,0,0,50,107,0,0,0
"530330011002","530330011002","530330011002, 53033001100, King, Washington","00","53","033","001100","2",,,,626,468,23,0,9,0,37,14,62,13,0
"530330012001","530330012001","530330012001, 53033001200, King, Washington","00","53","033","001200","1",,,,605,479,0,0,0,0,0,126,0,0,0
"530330012002","530330012002","530330012002, 53033001200, King, Washington","00","53","033","001200","2",,,,638,197,12,0,10,0,142,175,102,0,0
"530330012003","530330012003","530330012003, 53033001200, King, Washington","00","53","033","001200","3",,,,1126,67,0,0,0,14,81,169,795,0,0
"530330012004","530330012004","530330012004, 53033001200, King, Washington","00","53","033","001200","4",,,,752,31,0,70,42,161,50,38,360,0,0
"530330012005","530330012005","530330012005, 53033001200, King, Washington","00","53","033","001200","5",,,,952,13,18,59,18,33,152,101,558,0,0
"530330013001","530330013001","530330013001, 53033001300, King, Washington","00","53","033","001300","1",,,,981,421,96,46,43,12,86,65,212,0,0
"530330013002","530330013002","530330013002, 53033001300, King, Washington","00","53","033","001300","2",,,,767,179,159,11,9,155,189,53,0,0,12
"530330013003","530330013003","530330013003, 53033001300, King, Washington","00","53","033","001300","3",,,,831,203,109,0,8,86,84,298,41,2,0
"530330014001","530330014001","530330014001, 53033001400, King, Washington","00","53","033","001400","1",,,,595,266,93,0,10,10,109,107,0,0,0
"530330014002","530330014002","530330014002, 53033001400, King, Washington","00","53","033","001400","2",,,,572,343,69,0,0,42,54,64,0,0,0
"530330014003","530330014003","530330014003, 53033001400, King, Washington","00","53","033","001400","3",,,,762,330,146,12,13,0,58,121,82,0,0
"530330014004","530330014004","530330014004, 53033001400, King, Washington","00","53","033","001400","4",,,,679,679,0,0,0,0,0,0,0,0,0
"530330015001","530330015001","530330015001, 53033001500, King, Washington","00","53","033","001500","1",,,,600,559,23,0,0,0,0,18,0,0,0
"530330015002","530330015002","530330015002, 53033001500, King, Washington","00","53","033","001500","2",,,,662,568,85,0,0,0,9,0,0,0,0
"530330016001","530330016001","530330016001, 53033001600, King, Washington","00","53","033","001600","1",,,,658,640,0,0,0,0,0,0,0,18,0
"530330016002","530330016002","530330016002, 53033001600, King, Washington","00","53","033","001600","2",,,,656,656,0,0,0,0,0,0,0,0,0
"530330016003","530330016003","530330016003, 53033001600, King, Washington","00","53","033","001600","3",,,,824,366,99,96,19,93,57,78,16,0,0
"530330017011","530330017011","530330017011, 53033001701, King, Washington","00","53","033","001701","1",,,,1006,289,12,0,0,18,67,287,333,0,0
"530330017012","530330017012","530330017012, 53033001701, King, Washington","00","53","033","001701","2",,,,698,283,45,13,10,7,47,226,39,28,0
"530330017013","530330017013","530330017013, 53033001701, King, Washington","00","53","033","001701","3",,,,602,206,28,35,66,18,121,128,0,0,0
"530330017021","530330017021","530330017021, 53033001702, King, Washington","00","53","033","001702","1",,,,826,396,0,0,8,86,14,106,216,0,0
"530330017022","530330017022","530330017022, 53033001702, King, Washington","00","53","033","001702","2",,,,545,474,18,14,0,24,0,15,0,0,0
"530330017023","530330017023","530330017023, 53033001702, King, Washington","00","53","033","001702","3",,,,476,203,0,108,30,14,37,63,21,0,0
"530330017024","530330017024","530330017024, 53033001702, King, Washington","00","53","033","001702","4",,,,454,363,33,0,15,0,0,0,0,43,0
"530330018001","530330018001","530330018001, 53033001800, King, Washington","00","53","033","001800","1",,,,762,472,85,86,35,84,0,0,0,0,0
