Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_TRANSPORT1,ORG_VEHPURCH,ORG_GAS,ORG_OTHRVEH,ORG_PUBTRANS
"530330001001","530330001001","530330001001, 53033000100, King, Washington","00","53","033","000100","1",,,,9070.5,3665.4,1571.8,2813.7,1078
"530330001002","530330001002","530330001002, 53033000100, King, Washington","00","53","033","000100","2",,,,6420.2,2515,1315.6,2097.2,499.2
"530330001003","530330001003","530330001003, 53033000100, King, Washington","00","53","033","000100","3",,,,8816.8,3468.3,1670.2,2822.8,883
"530330001004","530330001004","530330001004, 53033000100, King, Washington","00","53","033","000100","4",,,,7684.5,2978,1605.8,2551.4,556.4
"530330001005","530330001005","530330001005, 53033000100, King, Washington","00","53","033","000100","5",,,,6597.7,2549.5,1273.4,2115.2,629.3
"530330002001","530330002001","530330002001, 53033000200, King, Washington","00","53","033","000200","1",,,,6296.6,2527.6,1178.3,1984.7,615
"530330002002","530330002002","530330002002, 53033000200, King, Washington","00","53","033","000200","2",,,,7140.4,2821.9,1385.9,2242.6,687.9
"530330002003","530330002003","530330002003, 53033000200, King, Washington","00","53","033","000200","3",,,,10392.9,4064.7,1970.8,3313.4,1037.3
"530330002004","530330002004","530330002004, 53033000200, King, Washington","00","53","033","000200","4",,,,6827.2,2713.3,1317.1,2173.2,580.1
"530330002005","530330002005","530330002005, 53033000200, King, Washington","00","53","033","000200","5",,,,8420.4,3330,1615.9,2679.8,803.7
"530330002006","530330002006","530330002006, 53033000200, King, Washington","00","53","033","000200","6",,,,8558.3,3473,1534.3,2674.6,886.1
"530330003001","530330003001","530330003001, 53033000300, King, Washington","00","53","033","000300","1",,,,7104.3,2860.8,1331.2,2235.9,666.1
"530330003002","530330003002","530330003002, 53033000300, King, Washington","00","53","033","000300","2",,,,8475.6,3371.6,1592.4,2695.9,812.8
"530330004011","530330004011","530330004011, 53033000401, King, Washington","00","53","033","000401","1",,,,16633.5,6460.9,3345.9,5406.8,1417.3
"530330004012","530330004012","530330004012, 53033000401, King, Washington","00","53","033","000401","2",,,,9202,3686.1,1724.9,2923.9,870.1
"530330004013","530330004013","530330004013, 53033000401, King, Washington","00","53","033","000401","3",,,,9572.6,3735.1,1919,3109.5,771.2
"530330004021","530330004021","530330004021, 53033000402, King, Washington","00","53","033","000402","1",,,,6423.2,2564.8,1247.4,2053.9,570.5
"530330004022","530330004022","530330004022, 53033000402, King, Washington","00","53","033","000402","2",,,,5323.1,2144.7,1044.1,1702.4,418.7
"530330004023","530330004023","530330004023, 53033000402, King, Washington","00","53","033","000402","3",,,,7848.6,3135.7,1486.9,2520.5,719.5
"530330004024","530330004024","530330004024, 53033000402, King, Washington","00","53","033","000402","4",,,,10088.4,4050.4,1941,3258.3,778.1
"530330005001","530330005001","530330005001, 53033000500, King, Washington","00","53","033","000500","1",,,,8944,3626.4,1522.4,2785.2,1086.5
"530330005002","530330005002","530330005002, 53033000500, King, Washington","00","53","033","000500","2",,,,6044.2,2434.9,1051,1883.8,722.2
"530330005003","530330005003","530330005003, 53033000500, King, Washington","00","53","033","000500","3",,,,6873.4,2824.9,1235.5,2145.5,691.5
"530330006001","530330006001","530330006001, 53033000600, King, Washington","00","53","033","000600","1",,,,7792.6,3116.1,1476.2,2439.2,743
"530330006002","530330006002","530330006002, 53033000600, King, Washington","00","53","033","000600","2",,,,7270.6,2845.4,1393.9,2331.5,729.9
"530330006003","530330006003","530330006003, 53033000600, King, Washington","00","53","033","000600","3",,,,8525.3,3400,1608.5,2702.6,841.4
"530330006004","530330006004","530330006004, 53033000600, King, Washington","00","53","033","000600","4",,,,10082.5,3942.1,1850.7,3174.6,1125.1
"530330006005","530330006005","530330006005, 53033000600, King, Washington","00","53","033","000600","5",,,,4691.5,1849.3,829.7,1467.5,600.4
"530330006006","530330006006","530330006006, 53033000600, King, Washington","00","53","033","000600","6",,,,8482.5,3334.7,1557.6,2659.4,920.8
"530330007001","530330007001","530330007001, 53033000700, King, Washington","00","53","033","000700","1",,,,10110.7,3946.1,1969.7,3244.8,943.2
"530330007002","530330007002","530330007002, 53033000700, King, Washington","00","53","033","000700","2",,,,6627,2618.5,1279.5,2110.1,613.7
"530330007003","530330007003","530330007003, 53033000700, King, Washington","00","53","033","000700","3",,,,6256.6,2481.8,1117.8,1952.9,731.7
"530330007004","530330007004","530330007004, 53033000700, King, Washington","00","53","033","000700","4",,,,5442.1,2201.9,1024.4,1725.1,487.3
"530330008001","530330008001","530330008001, 53033000800, King, Washington","00","53","033","000800","1",,,,6793.4,2740,1257.5,2130.3,667.1
"530330008002","530330008002","530330008002, 53033000800, King, Washington","00","53","033","000800","2",,,,8363.9,3383.7,1543.6,2636.2,817.7
"530330009001","530330009001","530330009001, 53033000900, King, Washington","00","53","033","000900","1",,,,7289.2,2960,1305.7,2273.4,772
"530330009002","530330009002","530330009002, 53033000900, King, Washington","00","53","033","000900","2",,,,6619,2685.7,1153.5,2055.1,760.9
"530330010001","530330010001","530330010001, 53033001000, King, Washington","00","53","033","001000","1",,,,5231.1,2061,984.7,1675,510.9
"530330010002","530330010002","530330010002, 53033001000, King, Washington","00","53","033","001000","2",,,,5839.2,2342.5,1083.6,1836.4,591.5
"530330011001","530330011001","530330011001, 53033001100, King, Washington","00","53","033","001100","1",,,,8118.2,3241,1473,2546.1,901.4
